name,description,product_id,id,isactive,scoring_weight
MailNews: Address Book & Contacts,"Problems with using the Address Book such as creating new cards, manipulating the data from the Address Book. Problems with VCard support and Address Book sidebar should also be reported in this component. A few examples: 1. User interface and functionality problems with the Address Book. 2. Trying to use the import tool such as importing or exporting address book cards.
Most of the Address Book is shared code and bugs not specific to SeaMonkey should be filed in the 'Core' product instead!",25,73,1,0.25
MailNews: Message Display,"Problems with displaying of messages, including main mail window, standalone message window, sidebar contents, toolbars, dialogs, new mail notification, message search, news subscription window, drag'n'drop, etc. A few examples: 1. User interface and functionality problems within the 3-pane mail window and the standalone message window.",25,74,1,0.25
Backend,"Problems with RDF data sources and application logic.  Most likely, your problem can fit in one of the other components so this component should be rarely used.",50,75,1,0.25
Sidebar,"The Sidebar is a content area that holds a set of mini-webpages or data such as bookmarks or mail folders, or a web search panel. This component also includes all integrated web search features of SeaMonkey.",25,76,1,0.25
Profile Migration,"Problems with migrating your profile from Communicator 4.x to the current Mozilla mail.   Choose this component if you've verified that the problem you are seeing does not occur when you 
create a new profile and add the mail or news account you were using with migration.",50,77,1,0.25
Internationalization,"Internationalization is the process of designing and developing a software product to function in multiple locales. This process involves identifying the locales that must be supported, designing features which support those locales, and writing code needed.",50,78,1,0.25
Preferences,"Problems with the preferences back-end code. This includes preferences not being saved, issues retrieving preferences, problems applying user settings, and other back-end issues. User interface issues should be filed in <em>Grendel: User Interface</em>.",5,79,1,0.25
Localization,"Localization is the process of adapting software for a specific international market; this process includes translating the user interface, resizing dialog boxes, replacing icons and other culturally sensitive graphics (if necessary) and customizing features.",50,80,1,0.25
Macintosh FE,,7,81,1,0.25
Windows FE,,7,82,1,0.25
XFE,,7,83,1,0.25
StubFE,,7,84,1,0.25
Aurora/RDF FE,,7,85,1,0.25
Aurora/RDF BE,,7,86,1,0.25
Berkeley DB,,7,87,1,0.25
Browser Hooks,,7,88,1,0.25
Composer,,7,89,1,0.25
Compositor Library,,7,90,1,0.25
FontLib,,7,91,1,0.25
HTMLtoText/PostScript Trans,,7,92,1,0.25
JPEG Image Handling,,7,93,1,0.25
PNG Image Handling,,7,94,1,0.25
Java Stubs,,7,95,1,0.25
Layout,,7,96,1,1
LibMocha,,7,97,1,0.25
MIMELib,Bugs in this area now assigned to MIME component in Mail/News product.,7,98,1,0.25
NetLib,Bugs in this area now assigned to Network Library component in Browser product.,7,99,1,0.25
PICS,,7,100,1,0.25
Preferences,"Please see libPref, Pref UI or Profile Mgr components under Browser product for bugs against Preferences.",7,101,1,0.25
Registry,,7,102,1,0.25
Security Stubs,,7,103,1,0.25
Bonsai,"Web based <a href=""http://www.mozilla.org/bonsai.html"">Tree control system</a> for watching the up-to-the-minute goings-on in a CVS repository",59,104,1,0.25
Despot,"mozilla.org's <a href=""https://despot.mozilla.org/despot.cgi"">account management</a> system",59,105,1,0.25
MXR,"Source code <a href=""http://hg.mozilla.org/webtools/mxr/"">cross reference</a> system",8,106,1,0.25
Mozbot,IRC robot that watches tinderbox and other things,8,107,0,0.25
Tinderbox,"Tree-watching system to monitor <a href=""http://www.mozilla.org/tinderbox.html"">continuous builds</a> that we run on multiple platforms.",59,108,1,0.25
ChatZilla,An IRC client implemented with JavaScript and XUL.,28,109,1,0.25
Tracking,"This component is used primarily for ""tracking"" bugs; bugs used to track a group of bugs.",49,110,1,0.25
JavaScript Engine,"The interpreter engine for the core JavaScript language,  independent of the browser's object model. File ONLY core JavaScript language bugs in this category. For bugs involving browser objects such as ""window"" and ""document"", use the ""DOM"" component. For bugs involving calls between JavaScript and C++, use the ""XPConnect"" component.",1,111,1,1
Printing,Problems with printing mail messages and address book cards.,50,112,1,0.25
Printing: Output,Problems printing from this product should be submitted under this component.,1,113,1,1
NSPR,"Cross-platform library providing runtime services, including threading, synchronization, File and Network I/O services, with a platform-independent API.",9,114,1,0.25
CCK-General,CCK bugs which do not fit into one of the other CCK components.,3,115,1,0.25
Networking: Cache,"For bugs in the cache, which stores recently accessed data for more rapid access. Includes the disk cache, memory cache, and all cache preferences.<BR><BR> 

Examples of appropriate bugs: Implement compression of network cache data; or Implement partial HTTP caching.",1,117,1,1
Networking,"Problems with general networking issues integrating with libnet.  For specific protocol problems, please choose:  IMAP, News, POP, or SMTP from the list.",50,118,1,0.25
XPConnect,Facilitates calling between JavaScript and XPCOM components.,1,119,1,1
Selection,Selection refers to the user action of selecting all or part of a document and highlighting the selected content.,1,122,1,1
Web Developer,"Information useful to content creators, web site administrators, system administrators and people using Mozilla as an application development platform.",13,124,1,0.25
Java to XPCOM Bridge,For bugs with the interoperability between XPCOM components and Java objects.,49,125,1,0.25
Litmus,"Litmus is a Testcase Management System. It is a way to document testcases, and track the outcome of running documented testcases.",59,127,1,0.25
File Handling,"For issues dealing with helper applications, and guessing
Content Types when they aren't specified/known (ftp:, file:, jar:, but generally not http:). This component does not cover: backend networking issues, such as those covered by <strong>Networking: FTP</strong> or <strong>Networking: File</strong>, nor does it cover the <strong>Download Manager</strong> which has its own component in <strong>Toolkit.</strong>",49,128,1,0.25
Miscellaneous,"Uncategorized things to do for Mozilla, the Mozilla Foundation, mozilla.org, etc.
<p>For miscellaneous issues related to bugzilla.mozilla.org, see the ""bugzilla.mozilla.org"" product. For issues with the Web sites, see the ""Websites"" and the ""www.mozilla.org"" products.</p>",10,129,1,0.25
Help Documentation,"Use this component to report problems with the Help menu, Help menu items, Help Viewer and SeaMonkey Help content. Examples: Clicking a Help menu item fails to open the appropriate Help file or Help Viewer has missing buttons.",25,130,1,0.25
Netscape 6,This component is for bugs found in items that are unique to Netscape 6.  Sometimes bugs are reported to Bugzilla which are really bugs in Netscape 6. When you find such bugs assign them to this component to nominate them for transfer to Netscape's bug database. Do not file new bugs to this component. For instance AIM or Net2Phone bugs.,12,131,1,0.25
Security: CAPS,Caps is the capabilities-based security system for the browser. Manages principals (entities responsible for a piece of code) and the protected capabilities (the ability to perform a restricted action) that may be enabled for given principals.,1,132,1,1
MailNews: Account Configuration,"Account Manager/Wizard, Preferences panels, etc. Problems with setting up mail and news accounts in SeaMonkey Mail & Newsgroups or with its preference panels. A few examples: 1. User interface and functionality problems with the Account Manager and/or Account Wizard. 2. Managing multiple accounts such as deleting different accounts or adding them. 3. Wrong wording in mail preference panel.",25,133,1,0.25
MathML,Mathematical Markup Language,1,134,1,1
Core,"Core JavaScript parsing, interpreter, runtime, and interactive shell.",11,135,1,0.25
Compiler,Java classfile generation and command-linecompiler tool.,11,136,1,0.25
Server Operations,System administration for the mozilla.org servers.  Requests for Server Ops that don't fit in any of the other Server Ops components can go here.,126,138,1,0.25
Help Viewer,End-user documentation reachable from Mozilla's Help menu.,13,140,1,0.25
Keyboard: Navigation,"Covers keyboard shortcuts, access keys/accelerators, and navigation by using the keyboard (not the mouse or other input device).

<p>Examples: Ctrl+W not closing the browser window under Windows. Command+N not
opening a new browser window under Mac OS. Alt+left arrow not going to the
previous page
under Linux. Alt not accessing the menu or access keys under Windows. Also, the
debate as to use Alt or Ctrl under linux as the keyboard accelerator key for
shortcuts. Requests for additional keyboard shortcuts.</p>",1,141,1,1
Skinability,"Issues dealing with Theme Switching and the infrastructure/plumbing of skins. This subsumes
the ""skins"" keyword.<BR><BR>
Example: Issues with the Themes Preference Panel, switching from one Theme to another, and skin interaction.",49,142,1,0.25
Themes,"Issues with SeaMonkey's built in themes, including Classic and Modern.",25,143,1,0.25
bg / Bulgarian,"Bulgarian translation of Mozilla (<i>Превод на Mozilla на 
български</i>)",17,144,1,0.25
Bookmarks & History,"Problems with the Bookmarks and History UI, including adding, deleting,
editing. Also includes problems with Bookmarks Manager, toolbar (""Personal
Toolbar"") and menu, History window and ""Go"" menu.",25,145,1,0.25
Search,"For bugs associated with the Search button, the Search Results Sidebar panel, and Advanced Search. For bugs involving the ""Find"" or ""Find on Page..."" menu items, use Mozilla Application Suite: XPApps.

<p>Examples of appropriate bugs: Keyword searches should open Sidebar and show results; or Search button does not invoke dialog.</p>",25,147,1,0.25
Installer,"For bugs in the native Mozilla installers, before Mozilla itself is running. Note: If the installer completes, but Mozilla (or the Mozilla User Profile Manager) won't launch or work correctly, this is not the right place to submit your bug; please try General.

Examples of appropriate bugs: Install Wizard does not allow me to select installation directory; Crash during Installation; Error message on install completion or cancel; Installer script in mail.xpi is defective.",25,148,1,0.25
Networking,"For bugs in Mozilla's modular networking library (aka ""Netlib"" or ""Necko"".) The networking library supplies the software interface that Mozilla uses to access physical transports (e.g. the Internet and local drives), perform URL resolutions, and handle a variety of networking protocols. 

<P>Examples of appropriate bugs: URLs with backslash not fetched; URLs starting with a single slash turn into http:///; Cannot access authenticated FTP site.",1,149,1,1
Document Navigation,Docshell acts as the glue that initiates and monitors document loading and associates documents to their view for rendering.  Previously called Webshell.,1,150,1,1
SVG,Bugs against the implementation of the Scalable Vector Graphics (SVG) specification.  Reads and renders SVG content.,1,153,1,1
Profile: BackEnd,"Problems with the creation, deletion and changing of user profiles during the installation process.",49,154,1,0.25
Startup & Profiles,"Problems using the Profile Manager user interface, profile access code or other problems happening during suite startup (before normal application windows is shown).",25,155,1,0.25
XP Toolkit/Widgets: Menus,"For bugs in the cross-platform menu infrastructure, including the display and behavior of pop-up menus, pull-down menus, and context menus. (Pop-up menus that are part of a web page's content should be assigned to Layout: Form Controls.)<BR><BR> 
  
Examples of appropriate bugs: Command key symbol is missing from Mac menus; or Context menus pop up in wrong location.",1,156,1,1
XBL,"The Extensible Binding Language, used to bind new behavior and new content to XUL and HTML elements.",1,159,1,1
Preferences: Backend,"For bugs in libPref, the backend library that reads, parses, and writes preferences to the user's hard disk. Unless you're a Mozilla developer, your bug probably doesn't belong in this component.

<p>Examples of appropriate bugs: prefs.js on the mac has non-mac style line endings; Large libpref string causes dialogs to crash on Linux; or JS Error at startup reading prefs file on migrated profile.",1,160,1,1
Security,"For non-crypto security bugs.  Or use this general component if you know you have a Browser security bug, but not sure what component to use.  Bug will be reviewed for proper component.",1,161,1,1
Security,"This component covers all bugs that relate to use of cryptography, S/MIME, and SSL issues for MailNews.  Or, use this
component if you have a MailNews security bug.",50,162,1,0.25
Tools,Tools to support NSS libraries,16,163,1,0.25
LDAP Integration,"Problems with LDAP functionality that relate to mail/news components.  For example, performing LDAP queries in the addressbook, LDAP typedown addressing/autocompletion, and LDAP preferences.",50,166,1,0.25
Print Preview,Problems in the rendering of Print Preview that are not seen when printing the same page.,1,168,1,1
de / German,"German localizations of Mozilla. 
(<i>Deutsche Übersetzungen</i>)",17,169,1,0.25
nn-NO / Norwegian Nynorsk,Norwegian (nynorsk) translation of Mozilla. (<i>Norsk (nynorsk) omsetjing av Mozilla</i>),17,170,1,0.25
nl / Dutch,"Dutch translation of Mozilla. (<i>Nederlandse vertaling van 
Mozilla</i>)",17,171,1,0.25
it / Italian,Italian translation of Mozilla. <i>(Traduzione italiana di Mozilla</i>),17,172,1,0.25
fr / French,French translation of Mozilla. (<i>Traduction de Mozilla en français</i>),17,174,1,0.25
bs / Bosnian,"Bosnian translation of Mozilla / Prevod Mozille na 
bosanski",17,175,1,0.25
Filters,"Problems with using filters to filter your mail.    A few examples:  1.  User interface and functionality problems with creating, editing, deleting, using filters.  2.  Incoming mail is not filtered properly.",50,176,1,0.25
Networking: IMAP,"Problems with receiving mail when your mail account is set up for IMAP.  This component should be chosen if you've verified that the receiving problem is specific to IMAP protocol.   A 
few examples:   1. Interoperability problems with IMAP servers (i.e. folders, naming conventions) would fall into this 
component.  2.  Using the IMAP delete model",50,177,1,0.25
Networking: NNTP,"Problems with reading, posting, or subscribing to newsgroups (also sometimes referred to as USENET)",50,178,1,0.25
Networking: POP,Problems with receiving mail when your mail account is set up for POP.  This component should be chosen if you've verified that the receiving problem is specific to POP protocol.  Deleting messages to the trash folder would also fall into this component.,50,179,1,0.25
Networking: SMTP,"Problems with sending mail.  If you have specific problems with 
the compose window, you should choose the ""Composition"" component from the list.",50,180,1,0.25
XSLT,"For bugs on Mozilla's XSLT support. See the <a
href=""http://www.mozilla.org/projects/xslt"">project
page</a> for tips on testcases and commonly encountered legacy problems.",1,183,1,1
Movemail,Problems with getting mail from the user's spool file.  (/var/spool/mail/*).  This is UNIX only.,50,184,1,0.25
MailNews: Backend,"SeaMonkey UI and connectivity to mail/news backends not caught by other components. This includes transmission (receiving, sending, receipts), offline, (junk) filters, storage bugs, etc.
Problems with the backend itself should NOT go into that component, but in the mail/news backend components of the ""Core"" product!",25,185,1,0.25
Networking: HTTP,"For bugs in Mozilla's HTTP networking code. This component deals with HTTP specific issues like pipelining, keep-alive, HTTP proxies, 1.1 issues, redirects, authentication (basic), etc.  
<p>
Examples of appropriate bugs:  Problems with proxy authentication; HTTP redirects looping indefinitely, etc.",1,186,1,1
Networking: FTP,"For bugs in Mozilla's FTP code. This component deals with FTP specific issues like downloading, directory formats, problems with FTP login, or resuming partial downloads, etc. 
<p>
Examples of appropriate bugs- Problems with multiple occurrences of files in directory listings, corruption in downloading certain files via FTP, etc.",1,187,1,1
String,The hierarchy of classes related to managing character sequences.,1,188,1,1
Library,Library,18,190,1,0.25
Tests,tests,18,191,1,0.25
Sample Code,Sample Code,18,192,1,0.25
Documentation,documentation,18,193,1,0.25
Networking: File,"For bugs in Mozilla's File IO code. This component deals with File specific issues like writing to disk, reading local files, etc Related problems with file:// protocol may also be addressed here.",1,194,1,1
History: Global,"This is the global history which tracks all URLs that a user has visited, across all sessions of the browser.  This also includes the history window and link coloring.  Examples of appropriate bugs: Chrome URLs incorrectly added to global history,  Reproducible crash when sorting by Title in History window, misbehaviour in the History sidebar tab.",1,195,0,1
Location Bar,"This is the type-in history for the Location bar in the browser window.  This includes behavior of the autocomplete widget for URIs, as well as the storage and expiration of the entries.  Examples of appropriate bugs: URIs incorrectly added to the drop down list, crashes, hangs, slowness when using this feature.",25,196,1,0.25
Printing: Xprint,For bugs in Mozilla's X11 print system.  Bugs in the postscript print system should be filed on the Printing Component and not here.,49,197,1,0.25
Repository Account Requests,"File a bug here to request write access to a mozilla.org repository, or to upgrade an existing access level. Before you file a bug, read our
<a href=""http://www.mozilla.org/hacking/committer/"">Guide to Becoming a Mozilla Committer</a>.",10,198,1,0.25
Drag and Drop,Description: Problems with drag and drop functionality anywhere in the applications.,1,200,1,1
DOM: CSS Object Model,"For bugs in our <a href=""http://www.w3.org/TR/DOM-Level-2-Style/"">DOM Style</a> support. <p>Examples of appropriate bugs: document.styleSheets doesn't hold missing
file:// stylesheets; crash setting element.style.color to 'red'.</p>
<p>This is not the place for most style bugs unless they involve scripting. See the Style System and Layout components.</p>",1,203,1,1
DOM: Events,"For bugs in our <a href=""http://www.w3.org/TR/DOM-Level-2-Events/"">DOM Events</a> support. This component deals with event bubbling, event handling, and interfaces such as UIEvent.
<p>Examples of appropriate bugs: cannot cancel 'submit' event; crash when handling a DOMNodeInserted event after inserting a node into anonymous content.</p>",1,204,1,1
LDAP XPCOM SDK,Software Development Kit for LDAP consisting of a number of XPCOM components and interfaces.,4,208,1,0.25
FTP: Staging,"This component is for problems with stage.mozilla.org, including content which is distributed to the ftp.mozilla.org and releases.mozilla.org mirrors. Problems with content generated by automatic build processes should be filed in the Release Engineering component.",10,209,0,0.25
Web Sniffer,"<a href=""http://webtools.mozilla.org/web-sniffer/"" title=""link to web sniffer page"">Web Sniffer</a> is a set of tools to work with the protocols underlying the Web. Its main purpose is to let you see the HTTP headers returned by a web server",59,211,1,0.25
Autocomplete,Problems with autocompletion (e.g. behavior of the autocomplete widget) anywhere in the application. This includes autocomplete in the URLbar and mailnews address fields.,25,212,1,0.25
Test,The QA test programs and the test driver scripts.,16,216,1,0.25
Build,Build system.,16,217,1,0.25
QuickLaunch (AKA turbo mode),"For bugs related to the QuickLaunch installer
option and preference, which keeps the application resident in memory after all windows are closed, to speed subsequent component loading.",1,218,0,1
English US,Evangelism bugs for sites in English which are located in the United States,134,222,0,0.25
English Other,Evangelism bugs for sites in English which are not located in the United States,134,223,0,0.25
Administration,"Administration of a bugzilla installation, including <code>editcomponents.cgi, editgroups.cgi, editkeywords.cgi, editparams.cgi, editproducts.cgi, editusers.cgi, editversions.cgi, sanitycheck.cgi</code>",19,224,1,0.25
Bugzilla-General,"Anything that doesn't fit in the other components, or spans multiple components.",19,225,1,0.25
Creating/Changing Bugs,"Creating, changing, and viewing bugs. <code>enter_bug.cgi, post_bug.cgi, show_bug.cgi, process_bug.cgi</code>",19,226,1,0.25
Documentation,"The bugzilla documentation, including anything in the <code>docs/</code> directory and <cite>The Bugzilla Guide</cite>.",19,227,1,0.25
Email Notifications,Anything to do with email sent by Bugzilla about bugs. <code>Bugzilla/BugMail.pm</code>,19,228,1,0.25
Installation & Upgrading,The installation process of Bugzilla. This includes <code>checksetup.pl</code> and whatever else it evolves into,19,229,1,0.25
Query/Bug List,Anything to do with searching for bugs and viewing the buglists. <code>query.cgi</code> and <code>buglist.cgi</code>,19,230,1,0.25
Reporting/Charting,"Getting reports from Bugzilla. <code>reports.cgi, duplicates.cgi</code>",19,231,1,0.25
User Accounts,"Anything about managing a user account from the user's perspective. <code>userprefs.cgi</code>, saved queries, creating accounts, changing passwords, logging in, etc.",19,232,1,0.25
User Interface,"General issues having to do with the user interface.  This includes both presentation (how it looks) and behavior (how it works) but not functionality (what it does), which should be filed in a function-specific component like <cite>Email Notifications</cite> or in <cite>Bugzilla-General</cite>.  Examples of bugs you might file here include <q>column label ""Pri"" is confusing</q> and <q>take anonymous users to the simple query page by default</q> but not <q>need way to filter for requests with no requestee</q>.

As a general rule, bugs that affect only a single Bugzilla web page or can be fixed with changes just to templates probably go in this component, while bugs that affect multiple pages or fixes to Perl code probably go somewhere else.",19,233,1,0.25
Calendar,These bugs used to live in the Calendar Product,7,234,1,0.25
General,For issues which don't fit in a more specific Calendar component.,2,237,1,0.25
